Filename,Makespan,Energy,Inference_Time(s),Valid
job10_m3_11.json,393,39300,1.3884,True
job10_m3_12.json,318,31800,1.8314,True
job10_m3_216.json,311,31100,0.6187,True
job10_m3_257.json,430,43000,1.7709,True
job10_m3_409.json,356,35600,0.4825,True
job10_m3_435.json,307,30700,1.6139,True
job10_m3_536.json,369,36900,0.3557,True
job10_m3_567.json,426,42600,1.2351,True
job10_m3_625.json,314,31400,1.7156,True
job10_m3_646.json,390,39000,1.0970,True
job10_m3_819.json,334,33400,0.8599,True
job10_m3_907.json,347,34700,1.8156,True
job10_m3_969.json,395,39500,0.2833,True
job10_m4_174.json,269,26900,1.8242,True
job10_m4_255.json,352,35200,0.1512,True
job10_m4_402.json,290,29000,1.3121,True
job10_m4_442.json,256,25600,1.8062,True
job10_m4_53.json,298,29800,0.6482,True
job10_m4_562.json,250,25000,1.0274,True
job10_m4_703.json,256,25600,1.7830,True
job10_m4_79.json,298,29800,0.7598,True
job10_m4_932.json,278,27800,0.9221,True
job10_m5_122.json,228,22800,1.8905,True
job10_m5_14.json,241,24100,1.0409,True
job10_m5_151.json,282,28200,1.4037,True
job10_m5_211.json,199,19900,0.2300,True
job10_m5_228.json,221,22100,1.1677,True
job10_m5_234.json,226,22600,1.8172,True
job10_m5_235.json,221,22100,1.1663,True
job10_m5_270.json,285,28500,0.6311,True
job10_m5_347.json,217,21700,1.8015,True
job10_m5_359.json,238,23800,0.3072,True
job10_m5_380.json,233,23300,1.3001,True
job10_m5_549.json,209,20900,1.8856,True
job10_m5_572.json,212,21200,0.5436,True
job10_m5_621.json,264,26400,1.1584,True
job10_m5_641.json,263,26300,1.9497,True
job10_m5_659.json,229,22900,0.2213,True
job10_m5_732.json,199,19900,1.1574,True
job10_m5_766.json,286,28600,1.9212,True
job10_m5_814.json,275,27500,0.6698,True
job10_m5_85.json,234,23400,1.5493,True
job10_m5_863.json,242,24200,1.0348,True
job10_m5_877.json,255,25500,0.7983,True
job10_m5_878.json,244,24400,1.7873,True
job10_m5_890.json,297,29700,0.4486,True
job10_m5_916.json,260,26000,1.9923,True
job10_m5_939.json,219,21900,0.2733,True
job10_m6_205.json,275,27500,1.5218,True
job10_m6_386.json,265,26500,1.7691,True
job10_m6_608.json,242,24200,0.1823,True
job10_m6_749.json,182,18200,1.7061,True
job10_m6_885.json,182,18200,1.0588,True
job10_m6_950.json,239,23900,0.1529,True
job10_m7_128.json,181,18100,1.3878,True
job10_m7_165.json,241,24100,2.0492,True
job10_m7_166.json,258,25800,0.5944,True
job10_m7_192.json,167,16700,1.3472,True
job10_m7_222.json,190,19000,1.8817,True
job10_m7_309.json,182,18200,0.3814,True
job10_m7_357.json,205,20500,2.0585,True
job10_m7_373.json,158,15800,0.1517,True
job10_m7_428.json,215,21500,1.6294,True
job10_m7_47.json,213,21300,1.9983,True
job10_m7_593.json,183,18300,0.1552,True
job10_m7_63.json,159,15900,1.8914,True
job10_m7_767.json,210,21000,1.5836,True
job10_m7_771.json,181,18100,0.1422,True
job10_m7_772.json,227,22700,1.1620,True
job10_m7_904.json,201,20100,1.8271,True
job10_m7_952.json,181,18100,1.3252,True
job10_m7_991.json,228,22800,0.7422,True
job10_m8_104.json,200,20000,1.8897,True
job10_m8_133.json,152,15200,0.3188,True
job10_m8_213.json,192,19200,1.5031,True
job10_m8_297.json,210,21000,1.8966,True
job10_m8_335.json,170,17000,0.4319,True
job10_m8_346.json,210,21000,1.9815,True
job10_m8_398.json,164,16400,0.3490,True
job10_m8_407.json,207,20700,1.8769,True
job10_m8_448.json,170,17000,0.4941,True
job10_m8_797.json,193,19300,1.5075,True
job10_m8_870.json,178,17800,1.7814,True
job10_m8_970.json,184,18400,0.1599,True
job10_m8_989.json,163,16300,1.3496,True
job11_m5_145.json,273,27300,1.9825,True
job11_m5_265.json,257,25700,0.8371,True
job11_m5_337.json,288,28800,1.1953,True
job11_m5_498.json,243,24300,2.1123,True
job11_m5_512.json,267,26700,1.3144,True
job11_m5_522.json,272,27200,0.1733,True
job11_m5_568.json,280,28000,1.8630,True
job11_m5_733.json,238,23800,1.9682,True
job11_m5_788.json,299,29900,0.1787,True
