Filename,Makespan,Energy,Inference_Time(s),Valid
job10_m3_11.json,325,32500,2.0267,True
job10_m3_12.json,316,31600,0.2386,True
job10_m3_216.json,254,25400,1.7507,True
job10_m3_257.json,329,32900,0.1354,True
job10_m3_409.json,296,29600,1.7714,True
job10_m3_435.json,285,28500,1.1752,True
job10_m3_536.json,317,31700,0.1337,True
job10_m3_567.json,291,29100,1.7078,True
job10_m3_625.json,258,25800,1.7149,True
job10_m3_646.json,390,39000,0.1343,True
job10_m3_819.json,336,33600,1.3177,True
job10_m3_907.json,317,31700,1.9387,True
job10_m3_969.json,359,35900,0.2510,True
job10_m4_174.json,234,23400,1.0889,True
job10_m4_255.json,344,34400,2.1429,True
job10_m4_402.json,246,24600,0.3540,True
job10_m4_442.json,238,23800,1.1589,True
job10_m4_53.json,273,27300,1.9151,True
job10_m4_562.json,222,22200,0.1414,True
job10_m4_703.json,206,20600,1.0838,True
job10_m4_79.json,303,30300,2.0479,True
job10_m4_932.json,255,25500,0.2991,True
job10_m5_122.json,218,21800,1.1743,True
job10_m5_14.json,264,26400,2.0471,True
job10_m5_151.json,277,27700,0.6146,True
job10_m5_211.json,192,19200,1.2408,True
job10_m5_228.json,213,21300,1.9056,True
job10_m5_234.json,197,19700,0.1458,True
job10_m5_235.json,198,19800,1.0643,True
job10_m5_270.json,221,22100,1.8827,True
job10_m5_347.json,183,18300,0.7242,True
job10_m5_359.json,239,23900,1.0316,True
job10_m5_380.json,194,19400,1.9609,True
job10_m5_549.json,219,21900,0.3685,True
job10_m5_572.json,181,18100,1.0888,True
job10_m5_621.json,199,19900,1.8524,True
job10_m5_641.json,261,26100,0.9960,True
job10_m5_659.json,222,22200,0.1397,True
job10_m5_732.json,221,22100,1.5519,True
job10_m5_766.json,279,27900,1.9249,True
job10_m5_814.json,265,26500,0.5334,True
job10_m5_85.json,176,17600,1.0358,True
job10_m5_863.json,219,21900,1.8353,True
job10_m5_877.json,174,17400,0.5206,True
job10_m5_878.json,221,22100,1.0516,True
job10_m5_890.json,237,23700,2.0081,True
job10_m5_916.json,203,20300,0.8181,True
job10_m5_939.json,226,22600,0.9599,True
job10_m6_205.json,249,24900,2.0038,True
job10_m6_386.json,225,22500,0.2713,True
job10_m6_608.json,203,20300,1.3913,True
job10_m6_749.json,177,17700,1.7065,True
job10_m6_885.json,171,17100,0.2369,True
job10_m6_950.json,200,20000,1.9402,True
job10_m7_128.json,181,18100,0.5376,True
job10_m7_165.json,193,19300,1.2387,True
job10_m7_166.json,205,20500,2.0597,True
job10_m7_192.json,230,23000,0.3414,True
job10_m7_222.json,210,21000,1.4381,True
job10_m7_309.json,155,15500,1.8456,True
job10_m7_357.json,180,18000,0.1588,True
job10_m7_373.json,177,17700,1.4504,True
job10_m7_428.json,190,19000,1.8999,True
job10_m7_47.json,205,20500,1.5348,True
job10_m7_593.json,200,20000,0.3937,True
job10_m7_63.json,239,23900,1.5534,True
job10_m7_767.json,193,19300,1.2925,True
