Filename,Best_Makespan
gen_50_job_9.json,828
gen_50_job_8.json,773
gen_50_job_7.json,662
gen_50_job_6.json,707
gen_50_job_5.json,802
gen_50_job_4.json,653
gen_50_job_3.json,819
gen_50_job_2.json,752
gen_50_job_1.json,750
gen_50_job_0.json,671
gen_30_job_9.json,822
gen_30_job_8.json,778
gen_30_job_7.json,722
gen_30_job_6.json,684
gen_30_job_5.json,909
gen_30_job_4.json,709
gen_30_job_3.json,781
gen_30_job_2.json,790
gen_30_job_1.json,782
gen_30_job_0.json,767
gen_10_job_9.json,335
gen_10_job_8.json,320
gen_10_job_7.json,387
gen_10_job_6.json,280
gen_10_job_5.json,389
gen_10_job_4.json,290
gen_10_job_3.json,265
gen_10_job_2.json,334
gen_10_job_1.json,321
gen_10_job_0.json,347
gen_100_job_9.json,1366
gen_100_job_8.json,1405
gen_100_job_7.json,1305
gen_100_job_6.json,1303
gen_100_job_5.json,1116
gen_100_job_4.json,1140
gen_100_job_3.json,1255
gen_100_job_2.json,1348
gen_100_job_1.json,1364
gen_100_job_0.json,1242
