Epoch,Total_Loss,Link_Loss,Prio_Loss
0,2.74622,0.52146,2.22476
1,0.26974,0.20468,0.06506
2,0.18620,0.15339,0.03281
3,0.15385,0.12109,0.03276
4,0.13696,0.10671,0.03025
5,0.12277,0.09550,0.02727
6,0.11991,0.09358,0.02633
7,0.11577,0.08953,0.02624
8,0.11295,0.08871,0.02424
9,0.10577,0.08474,0.02103
10,0.10124,0.08217,0.01907
11,0.10013,0.08129,0.01884
12,0.09932,0.08079,0.01853
13,0.09861,0.08018,0.01844
14,0.09774,0.07963,0.01811
15,0.09741,0.07944,0.01797
16,0.09666,0.07907,0.01759
17,0.09588,0.07872,0.01717
18,0.09592,0.07862,0.01730
19,0.09524,0.07818,0.01706
20,0.09504,0.07805,0.01698
21,0.09488,0.07781,0.01707
22,0.09415,0.07746,0.01670
23,0.09406,0.07750,0.01656
24,0.09383,0.07710,0.01673
25,0.09329,0.07684,0.01645
26,0.09263,0.07662,0.01601
27,0.09286,0.07669,0.01617
28,0.09277,0.07665,0.01612
29,0.09220,0.07638,0.01582
30,0.09186,0.07603,0.01583
31,0.09173,0.07604,0.01569
32,0.09136,0.07574,0.01562
33,0.09152,0.07587,0.01565
34,0.09192,0.07618,0.01574
35,0.10309,0.07988,0.02321
36,0.09612,0.07745,0.01868
37,0.09226,0.07665,0.01561
38,0.09334,0.07717,0.01618
39,0.09406,0.07691,0.01716
40,0.09155,0.07594,0.01561
41,0.09044,0.07550,0.01494
42,0.09024,0.07505,0.01519
43,0.09105,0.07506,0.01599
44,0.09043,0.07492,0.01551
45,0.09036,0.07504,0.01532
46,0.09029,0.07477,0.01552
47,0.08995,0.07456,0.01539
48,0.09002,0.07472,0.01530
49,0.09001,0.07474,0.01527
