Epoch,Total_Loss,Link_Loss,Prio_Loss
0,7.22084,0.53322,6.68762
1,0.45844,0.32364,0.13480
2,0.34991,0.30140,0.04850
3,0.32039,0.28646,0.03393
4,0.31229,0.28374,0.02855
5,0.30317,0.27721,0.02597
6,0.30101,0.27541,0.02560
7,0.29894,0.27395,0.02498
8,0.29601,0.27139,0.02462
9,0.29305,0.26875,0.02430
10,0.29063,0.26703,0.02360
11,0.28807,0.26506,0.02301
12,0.28842,0.26535,0.02307
13,0.28566,0.26349,0.02217
14,0.28490,0.26265,0.02225
15,0.28336,0.26127,0.02208
16,0.28221,0.26041,0.02180
17,0.28064,0.25923,0.02141
18,0.28071,0.25894,0.02177
19,0.28068,0.25912,0.02156
20,0.27828,0.25705,0.02124
21,0.27779,0.25645,0.02134
22,0.27560,0.25434,0.02126
23,0.27504,0.25387,0.02116
24,0.27432,0.25335,0.02098
25,0.27352,0.25250,0.02102
26,0.27145,0.25062,0.02083
27,0.27104,0.25025,0.02080
28,0.27107,0.25025,0.02082
29,0.27084,0.24994,0.02090
30,0.26938,0.24878,0.02060
31,0.26924,0.24853,0.02072
32,0.26864,0.24790,0.02074
33,0.26709,0.24663,0.02046
34,0.26874,0.24810,0.02064
35,0.26869,0.24792,0.02077
36,0.26535,0.24499,0.02036
37,0.26550,0.24509,0.02041
38,0.26563,0.24533,0.02030
39,0.26607,0.24566,0.02042
40,0.26461,0.24434,0.02027
41,0.26454,0.24423,0.02031
42,0.26474,0.24456,0.02018
43,0.26275,0.24245,0.02031
44,0.26401,0.24363,0.02038
45,0.26370,0.24352,0.02019
46,0.26256,0.24254,0.02002
47,0.26155,0.24139,0.02017
48,0.26189,0.24164,0.02025
49,0.26168,0.24142,0.02026
50,0.26204,0.24165,0.02039
51,0.26226,0.24193,0.02034
52,0.26078,0.24053,0.02025
53,0.26004,0.23979,0.02024
54,0.26072,0.24049,0.02024
55,0.26109,0.24098,0.02010
56,0.25993,0.23976,0.02018
57,0.25961,0.23910,0.02051
58,0.25864,0.23831,0.02033
59,0.25960,0.23950,0.02010
60,0.25890,0.23868,0.02022
61,0.25821,0.23812,0.02009
62,0.25819,0.23804,0.02015
63,0.25681,0.23691,0.01990
64,0.25650,0.23639,0.02010
65,0.25562,0.23570,0.01992
66,0.25847,0.23817,0.02030
67,0.25604,0.23588,0.02016
68,0.25713,0.23712,0.02001
69,0.25638,0.23626,0.02012
70,0.25610,0.23600,0.02010
71,0.25442,0.23429,0.02014
72,0.25606,0.23606,0.02000
73,0.25653,0.23642,0.02011
74,0.25515,0.23505,0.02010
75,0.25550,0.23543,0.02007
76,0.25358,0.23348,0.02010
77,0.25504,0.23466,0.02039
78,0.25546,0.23552,0.01993
79,0.25501,0.23504,0.01997
80,0.25473,0.23458,0.02015
81,0.25564,0.23543,0.02021
82,0.25531,0.23521,0.02010
83,0.25390,0.23387,0.02004
84,0.25276,0.23272,0.02005
85,0.25393,0.23382,0.02011
86,0.25404,0.23394,0.02010
87,0.25350,0.23355,0.01995
88,0.25238,0.23224,0.02013
89,0.25185,0.23185,0.02000
90,0.25373,0.23369,0.02005
91,0.25217,0.23217,0.01999
92,0.25542,0.23530,0.02011
93,0.25148,0.23145,0.02003
94,0.25436,0.23444,0.01992
95,0.25037,0.23051,0.01986
96,0.25180,0.23166,0.02014
97,0.25078,0.23084,0.01994
98,0.25194,0.23197,0.01997
99,0.25398,0.23411,0.01987
100,0.24966,0.22948,0.02018
101,0.24930,0.22917,0.02013
102,0.25160,0.23141,0.02019
103,0.24986,0.22967,0.02019
104,0.25002,0.23000,0.02001
105,0.25201,0.23206,0.01995
106,0.25122,0.23117,0.02004
107,0.24901,0.22889,0.02013
108,0.25101,0.23014,0.02087
109,0.24985,0.22975,0.02010
110,0.24875,0.22887,0.01988
111,0.25104,0.23046,0.02058
112,0.25135,0.23140,0.01995
113,0.24859,0.22848,0.02011
114,0.25144,0.23147,0.01997
115,0.24985,0.22932,0.02053
116,0.24956,0.22951,0.02005
117,0.24838,0.22853,0.01985
118,0.24798,0.22798,0.02000
119,0.24831,0.22839,0.01992
120,0.24753,0.22772,0.01981
121,0.24908,0.22920,0.01988
122,0.24569,0.22589,0.01980
123,0.24734,0.22739,0.01995
124,0.24739,0.22750,0.01989
125,0.24691,0.22701,0.01990
126,0.24985,0.23007,0.01979
127,0.24700,0.22710,0.01990
128,0.24842,0.22845,0.01997
129,0.24796,0.22802,0.01994
130,0.24754,0.22757,0.01997
131,0.24905,0.22837,0.02068
132,0.24961,0.22956,0.02005
133,0.24876,0.22880,0.01996
134,0.24539,0.22512,0.02026
135,0.24683,0.22697,0.01986
136,0.24539,0.22556,0.01983
137,0.24765,0.22763,0.02002
138,0.24479,0.22493,0.01987
139,0.24837,0.22852,0.01985
140,0.24554,0.22561,0.01992
141,0.24521,0.22533,0.01989
142,0.24672,0.22676,0.01997
143,0.24570,0.22553,0.02017
144,0.24866,0.22877,0.01989
145,0.24881,0.22879,0.02001
146,0.24599,0.22611,0.01988
147,0.24758,0.22764,0.01994
148,0.24653,0.22667,0.01986
149,0.24862,0.22868,0.01994
150,0.24536,0.22541,0.01995
151,0.24610,0.22607,0.02003
152,0.24402,0.22416,0.01986
153,0.24406,0.22437,0.01970
154,0.24722,0.22726,0.01996
155,0.24728,0.22660,0.02068
156,0.24473,0.22425,0.02048
157,0.24396,0.22419,0.01977
158,0.24552,0.22568,0.01984
159,0.24502,0.22512,0.01990
160,0.24350,0.22369,0.01981
161,0.24349,0.22362,0.01987
162,0.24357,0.22373,0.01984
163,0.24457,0.22445,0.02012
164,0.24495,0.22501,0.01994
165,0.24334,0.22363,0.01971
166,0.24283,0.22306,0.01977
167,0.24596,0.22612,0.01985
168,0.24496,0.22504,0.01992
169,0.24615,0.22618,0.01997
170,0.24495,0.22513,0.01982
171,0.24417,0.22427,0.01990
172,0.24578,0.22587,0.01991
173,0.24065,0.22067,0.01998
174,0.24347,0.22347,0.02000
175,0.24057,0.22078,0.01979
176,0.24418,0.22414,0.02003
177,0.24404,0.22427,0.01977
178,0.24638,0.22658,0.01980
179,0.24326,0.22325,0.02001
180,0.24404,0.22389,0.02015
181,0.24653,0.22662,0.01991
182,0.24273,0.22293,0.01980
183,0.24396,0.22353,0.02043
184,0.23985,0.21980,0.02005
185,0.24200,0.22221,0.01979
186,0.24471,0.22448,0.02023
187,0.24148,0.22163,0.01984
188,0.24426,0.22430,0.01996
189,0.24273,0.22295,0.01978
190,0.24611,0.22617,0.01994
191,0.24256,0.22274,0.01983
192,0.24382,0.22412,0.01970
193,0.24405,0.22424,0.01981
194,0.24258,0.22279,0.01979
195,0.24500,0.22521,0.01979
196,0.23965,0.21965,0.01999
197,0.24314,0.22316,0.01999
198,0.24054,0.22074,0.01980
199,0.24357,0.22370,0.01987
200,0.24325,0.22315,0.02010
201,0.24319,0.22336,0.01983
202,0.24142,0.22148,0.01994
203,0.24208,0.22237,0.01971
204,0.24474,0.22496,0.01978
205,0.24380,0.22351,0.02029
206,0.24209,0.22204,0.02005
207,0.24217,0.22250,0.01967
208,0.24148,0.22181,0.01967
209,0.24119,0.22130,0.01989
210,0.24224,0.22247,0.01977
211,0.24158,0.22193,0.01965
212,0.24010,0.22044,0.01966
213,0.24235,0.22256,0.01979
214,0.24314,0.22312,0.02002
215,0.24282,0.22297,0.01986
216,0.24275,0.22260,0.02015
217,0.24054,0.22076,0.01979
218,0.23936,0.21964,0.01971
219,0.24021,0.22060,0.01961
220,0.24020,0.22063,0.01958
221,0.24036,0.22050,0.01986
222,0.23937,0.21932,0.02005
223,0.24037,0.22061,0.01976
224,0.23983,0.22010,0.01973
225,0.24094,0.22108,0.01986
226,0.24090,0.22098,0.01992
227,0.24083,0.22070,0.02013
228,0.23990,0.22016,0.01974
229,0.24273,0.22281,0.01993
230,0.24045,0.22055,0.01990
231,0.23880,0.21909,0.01971
232,0.24285,0.22296,0.01989
233,0.23991,0.22025,0.01966
234,0.24020,0.22032,0.01988
235,0.24101,0.22118,0.01983
236,0.23992,0.22010,0.01982
237,0.24203,0.22241,0.01961
238,0.24234,0.22269,0.01965
239,0.24077,0.22088,0.01989
240,0.24099,0.22116,0.01983
241,0.24202,0.22219,0.01983
242,0.24055,0.22070,0.01985
243,0.24151,0.22174,0.01977
244,0.23997,0.22011,0.01987
245,0.24088,0.22097,0.01991
246,0.24086,0.22088,0.01998
247,0.24067,0.22082,0.01985
248,0.23655,0.21688,0.01966
249,0.23890,0.21916,0.01974
250,0.24191,0.22206,0.01985
251,0.24257,0.22271,0.01987
252,0.23819,0.21865,0.01954
253,0.24116,0.22159,0.01956
254,0.24135,0.22087,0.02048
255,0.23741,0.21765,0.01977
256,0.23841,0.21876,0.01965
257,0.24112,0.22123,0.01989
258,0.24300,0.22310,0.01990
259,0.23893,0.21915,0.01978
260,0.24205,0.22214,0.01990
261,0.23936,0.21974,0.01963
262,0.24236,0.22236,0.02001
263,0.23713,0.21731,0.01982
264,0.23934,0.21963,0.01971
265,0.23851,0.21878,0.01974
266,0.23898,0.21933,0.01965
267,0.24107,0.22141,0.01966
268,0.24069,0.22109,0.01960
269,0.23663,0.21699,0.01964
270,0.23994,0.22028,0.01966
271,0.23786,0.21804,0.01983
272,0.23700,0.21734,0.01965
273,0.23907,0.21901,0.02007
274,0.24006,0.22044,0.01961
275,0.24074,0.22113,0.01961
276,0.24053,0.22080,0.01972
277,0.23944,0.21983,0.01961
278,0.24075,0.22082,0.01993
279,0.24093,0.22132,0.01961
280,0.23740,0.21765,0.01975
281,0.23660,0.21693,0.01967
282,0.23968,0.21991,0.01977
283,0.24121,0.22145,0.01976
284,0.23623,0.21671,0.01952
285,0.23857,0.21887,0.01970
286,0.23858,0.21882,0.01976
287,0.23835,0.21842,0.01993
288,0.23632,0.21670,0.01962
289,0.23951,0.21978,0.01972
290,0.23818,0.21856,0.01962
291,0.23727,0.21756,0.01970
292,0.23899,0.21942,0.01958
293,0.23586,0.21632,0.01954
294,0.23765,0.21776,0.01989
295,0.23668,0.21717,0.01952
296,0.24014,0.22048,0.01966
297,0.23957,0.21972,0.01985
298,0.23650,0.21642,0.02008
299,0.23883,0.21921,0.01962
300,0.23412,0.21438,0.01973
301,0.23552,0.21602,0.01951
302,0.23780,0.21807,0.01973
303,0.23428,0.21467,0.01962
304,0.23843,0.21885,0.01958
305,0.23794,0.21823,0.01971
306,0.23998,0.22026,0.01973
307,0.23835,0.21809,0.02026
308,0.23777,0.21824,0.01953
309,0.23808,0.21810,0.01998
310,0.23633,0.21677,0.01955
311,0.23962,0.22008,0.01954
312,0.23677,0.21722,0.01955
313,0.23425,0.21451,0.01974
314,0.23632,0.21669,0.01964
315,0.23615,0.21626,0.01989
316,0.23716,0.21762,0.01954
317,0.23830,0.21847,0.01983
318,0.23590,0.21624,0.01966
319,0.23716,0.21761,0.01955
320,0.23559,0.21608,0.01951
321,0.23637,0.21681,0.01956
322,0.23601,0.21634,0.01967
323,0.23868,0.21901,0.01967
324,0.23559,0.21619,0.01941
325,0.23643,0.21670,0.01974
326,0.23761,0.21795,0.01966
327,0.23609,0.21656,0.01953
328,0.23687,0.21728,0.01959
329,0.23536,0.21578,0.01958
330,0.23445,0.21482,0.01963
331,0.23396,0.21462,0.01934
332,0.23572,0.21624,0.01948
333,0.23540,0.21592,0.01949
334,0.23756,0.21794,0.01961
335,0.23430,0.21470,0.01960
336,0.23545,0.21592,0.01953
337,0.23433,0.21490,0.01944
338,0.23409,0.21457,0.01951
339,0.23753,0.21793,0.01960
340,0.23666,0.21698,0.01968
341,0.23663,0.21713,0.01950
342,0.23409,0.21451,0.01958
343,0.23636,0.21664,0.01972
344,0.23680,0.21711,0.01969
345,0.23869,0.21890,0.01979
346,0.23565,0.21570,0.01995
347,0.23679,0.21721,0.01958
348,0.23576,0.21616,0.01961
