Epoch,Total_Loss,Link_Loss,Prio_Loss
0,8.05799,1.21558,6.84241
1,0.78392,0.67866,0.10526
2,0.68557,0.63124,0.05433
3,0.64361,0.60574,0.03787
4,0.60851,0.57731,0.03121
5,0.58988,0.55969,0.03018
6,0.59282,0.55773,0.03508
7,0.57793,0.55005,0.02788
8,0.57211,0.54428,0.02783
9,0.57175,0.54503,0.02672
10,0.56833,0.54174,0.02659
11,0.56795,0.54171,0.02624
12,0.56683,0.54188,0.02495
13,0.56281,0.53751,0.02530
14,0.56182,0.53724,0.02458
15,0.55958,0.53378,0.02580
16,0.55905,0.53449,0.02456
17,0.55522,0.53117,0.02405
18,0.55237,0.52883,0.02355
19,0.55108,0.52724,0.02384
20,0.54814,0.52442,0.02372
21,0.54654,0.52292,0.02362
22,0.54653,0.52226,0.02427
23,0.54332,0.51942,0.02391
24,0.54139,0.51790,0.02349
25,0.53868,0.51542,0.02326
26,0.53429,0.51091,0.02338
27,0.53449,0.51131,0.02319
28,0.53386,0.51062,0.02324
29,0.53128,0.50844,0.02285
30,0.52918,0.50628,0.02289
31,0.53054,0.50749,0.02305
32,0.52764,0.50477,0.02287
33,0.52481,0.50204,0.02277
34,0.52793,0.50518,0.02275
35,0.52561,0.50300,0.02261
36,0.52039,0.49809,0.02230
37,0.52262,0.50019,0.02244
38,0.52212,0.49992,0.02220
39,0.52307,0.50099,0.02208
40,0.51787,0.49576,0.02210
41,0.51711,0.49473,0.02238
42,0.51806,0.49597,0.02210
43,0.51394,0.49182,0.02212
44,0.51685,0.49470,0.02215
45,0.51633,0.49452,0.02182
46,0.51512,0.49308,0.02203
47,0.51126,0.48902,0.02224
48,0.51043,0.48828,0.02214
49,0.51405,0.49197,0.02208
50,0.51194,0.48975,0.02219
51,0.51107,0.48905,0.02202
52,0.50861,0.48654,0.02207
53,0.50682,0.48485,0.02197
54,0.50766,0.48542,0.02223
55,0.51034,0.48848,0.02186
56,0.50678,0.48492,0.02187
57,0.50505,0.48327,0.02178
58,0.50395,0.48215,0.02180
59,0.50446,0.48277,0.02169
60,0.50119,0.47937,0.02182
61,0.50286,0.48120,0.02166
62,0.50200,0.48033,0.02168
63,0.49971,0.47813,0.02157
64,0.49753,0.47586,0.02168
65,0.49811,0.47623,0.02188
66,0.50410,0.48243,0.02167
67,0.49969,0.47797,0.02171
68,0.49920,0.47740,0.02180
69,0.49683,0.47511,0.02172
70,0.49787,0.47620,0.02168
71,0.49197,0.47006,0.02190
72,0.49908,0.47734,0.02174
73,0.49993,0.47830,0.02163
74,0.49632,0.47462,0.02171
75,0.49976,0.47807,0.02169
76,0.49197,0.47029,0.02168
77,0.49633,0.47455,0.02177
78,0.49873,0.47712,0.02160
79,0.49565,0.47404,0.02161
80,0.49414,0.47241,0.02174
81,0.49872,0.47711,0.02160
82,0.49762,0.47608,0.02155
83,0.49292,0.47134,0.02158
84,0.49242,0.47080,0.02162
85,0.49372,0.47217,0.02155
86,0.49339,0.47184,0.02155
87,0.49437,0.47247,0.02190
88,0.49083,0.46928,0.02155
89,0.48859,0.46705,0.02154
90,0.49324,0.47156,0.02168
91,0.48904,0.46749,0.02154
92,0.49726,0.47569,0.02157
93,0.48795,0.46623,0.02172
94,0.49446,0.47287,0.02159
95,0.48669,0.46505,0.02164
96,0.48802,0.46619,0.02183
97,0.48781,0.46630,0.02151
98,0.49041,0.46893,0.02148
99,0.49361,0.47210,0.02151
100,0.48292,0.46143,0.02149
101,0.48456,0.46308,0.02148
102,0.49269,0.47121,0.02148
103,0.48480,0.46328,0.02152
104,0.48692,0.46529,0.02163
105,0.48987,0.46815,0.02172
106,0.48773,0.46624,0.02149
