Filename,Makespan,Energy,Inference_Time(s),Valid
job10_m3_11.json,370,37000,2.0342,True
job10_m3_12.json,309,30900,0.4381,True
job10_m3_216.json,275,27500,1.7660,True
job10_m3_257.json,313,31300,0.3134,True
job10_m3_409.json,327,32700,1.7836,True
job10_m3_435.json,245,24500,1.0591,True
job10_m3_536.json,298,29800,0.1371,True
job10_m3_567.json,333,33300,1.9634,True
job10_m3_625.json,305,30500,0.8049,True
job10_m3_646.json,364,36400,0.1497,True
job10_m3_819.json,302,30200,1.8993,True
job10_m3_907.json,364,36400,1.7777,True
job10_m3_969.json,301,30100,0.1382,True
job10_m4_174.json,240,24000,1.2943,True
job10_m4_255.json,296,29600,2.1447,True
job10_m4_402.json,305,30500,0.3347,True
job10_m4_442.json,227,22700,1.1305,True
job10_m4_53.json,253,25300,1.9145,True
job10_m4_562.json,223,22300,0.3687,True
job10_m4_703.json,280,28000,1.2770,True
job10_m4_79.json,281,28100,1.9594,True
job10_m4_932.json,278,27800,0.1442,True
job10_m5_122.json,241,24100,1.7564,True
job10_m5_14.json,241,24100,1.8009,True
job10_m5_151.json,241,24100,0.1537,True
job10_m5_211.json,197,19700,1.6063,True
job10_m5_228.json,252,25200,1.9080,True
job10_m5_234.json,198,19800,0.1478,True
job10_m5_235.json,203,20300,1.0960,True
job10_m5_270.json,269,26900,1.8852,True
job10_m5_347.json,212,21200,1.5884,True
job10_m5_359.json,240,24000,1.2081,True
job10_m5_380.json,234,23400,0.7419,True
job10_m5_549.json,208,20800,0.9741,True
job10_m5_572.json,214,21400,1.7915,True
job10_m5_621.json,200,20000,1.7973,True
job10_m5_641.json,212,21200,0.1520,True
job10_m5_659.json,235,23500,1.2269,True
job10_m5_732.json,205,20500,1.8357,True
job10_m5_766.json,232,23200,1.2060,True
job10_m5_814.json,240,24000,0.9527,True
job10_m5_85.json,185,18500,1.7127,True
job10_m5_863.json,220,22000,0.2713,True
job10_m5_877.json,235,23500,1.2099,True
job10_m5_878.json,210,21000,1.7958,True
job10_m5_890.json,309,30900,0.4382,True
job10_m5_916.json,234,23400,1.4838,True
job10_m5_939.json,248,24800,1.8836,True
job10_m6_205.json,245,24500,0.1559,True
job10_m6_386.json,206,20600,1.9141,True
job10_m6_608.json,248,24800,1.1219,True
job10_m6_749.json,146,14600,0.7277,True
job10_m6_885.json,230,23000,1.9338,True
job10_m6_950.json,206,20600,0.1530,True
job10_m7_128.json,212,21200,1.7121,True
job10_m7_165.json,223,22300,1.3145,True
job10_m7_166.json,231,23100,0.3560,True
job10_m7_192.json,288,28800,1.9952,True
job10_m7_222.json,180,18000,1.6438,True
job10_m7_309.json,219,21900,0.1546,True
job10_m7_357.json,231,23100,1.5333,True
job10_m7_373.json,160,16000,1.8771,True
job10_m7_428.json,197,19700,1.1677,True
job10_m7_47.json,187,18700,0.2881,True
job10_m7_593.json,206,20600,1.9196,True
job10_m7_63.json,296,29600,1.8974,True
job10_m7_767.json,215,21500,0.1552,True
job10_m7_771.json,147,14700,1.6312,True
job10_m7_772.json,211,21100,1.6455,True
job10_m7_904.json,207,20700,0.3308,True
job10_m7_952.json,174,17400,1.8292,True
job10_m7_991.json,221,22100,0.6826,True
job10_m8_104.json,227,22700,1.7993,True
job10_m8_133.json,217,21700,0.7651,True
job10_m8_213.json,207,20700,1.2028,True
job10_m8_297.json,204,20400,1.8972,True
job10_m8_335.json,175,17500,0.6890,True
job10_m8_346.json,206,20600,1.8950,True
job10_m8_398.json,154,15400,0.1571,True
job10_m8_407.json,177,17700,1.5832,True
job10_m8_448.json,226,22600,1.9032,True
job10_m8_797.json,188,18800,0.3670,True
job10_m8_870.json,218,21800,1.1897,True
job10_m8_970.json,223,22300,2.0051,True
job10_m8_989.json,167,16700,0.6973,True
job11_m5_145.json,315,31500,1.1392,True
job11_m5_265.json,295,29500,2.1420,True
job11_m5_337.json,269,26900,0.2960,True
job11_m5_498.json,304,30400,1.6568,True
job11_m5_512.json,260,26000,2.1584,True
job11_m5_522.json,257,25700,0.1762,True
job11_m5_568.json,200,20000,1.8618,True
job11_m5_733.json,261,26100,0.7509,True
job11_m5_788.json,261,26100,1.1706,True
job11_m5_862.json,202,20200,1.7554,True
job11_m6_421.json,191,19100,1.4312,True
job11_m6_504.json,228,22800,0.1524,True
job11_m6_520.json,200,20000,0.7624,True
job11_m6_594.json,224,22400,2.0199,True
job11_m6_638.json,282,28200,0.2301,True
job11_m6_854.json,194,19400,2.1131,True
job11_m6_857.json,223,22300,0.5163,True
job11_m6_910.json,202,20200,1.3011,True
job11_m6_976.json,223,22300,2.0226,True
job11_m7_129.json,206,20600,0.3225,True
job11_m7_159.json,190,19000,1.8317,True
job11_m7_263.json,160,16000,1.2922,True
job11_m7_299.json,227,22700,0.1577,True
job11_m7_387.json,193,19300,1.8663,True
job11_m7_463.json,220,22000,1.9073,True
job11_m7_479.json,271,27100,0.6363,True
job11_m7_530.json,251,25100,2.0511,True
job11_m7_577.json,198,19800,1.0125,True
job11_m7_624.json,228,22800,0.9614,True
job11_m7_726.json,215,21500,1.9821,True
job11_m7_791.json,248,24800,0.3154,True
job11_m7_911.json,191,19100,2.0362,True
job11_m8_139.json,160,16000,0.1680,True
job11_m8_187.json,175,17500,1.2797,True
job11_m8_294.json,206,20600,2.1980,True
job11_m8_314.json,236,23600,1.7089,True
job11_m8_415.json,207,20700,1.0398,True
job11_m8_437.json,241,24100,1.9770,True
job11_m8_529.json,227,22700,0.5815,True
job11_m8_626.json,280,28000,2.0476,True
job11_m8_715.json,227,22700,0.7269,True
job11_m8_719.json,225,22500,2.2609,True
job11_m8_835.json,240,24000,0.1561,True
job11_m8_843.json,176,17600,2.1495,True
job11_m8_882.json,215,21500,1.1282,True
job11_m8_956.json,200,20000,1.0912,True
job12_m5_146.json,220,22000,2.1577,True
job12_m5_203.json,224,22400,0.1713,True
job12_m5_237.json,277,27700,2.1730,True
job12_m5_302.json,268,26800,0.2982,True
job12_m5_469.json,236,23600,1.3546,True
job12_m5_474.json,253,25300,2.1667,True
job12_m5_484.json,223,22300,0.5807,True
job12_m5_654.json,284,28400,1.4203,True
job12_m5_728.json,274,27400,2.1225,True
job12_m5_838.json,250,25000,0.1565,True
job12_m5_940.json,260,26000,2.2944,True
job12_m5_972.json,220,22000,1.2279,True
job12_m6_17.json,229,22900,0.2622,True
job12_m6_181.json,254,25400,2.2202,True
job12_m6_220.json,216,21600,1.8508,True
job12_m6_278.json,264,26400,0.1708,True
job12_m6_381.json,366,36600,2.2833,True
job12_m6_521.json,192,19200,1.7626,True
job12_m6_6.json,213,21300,0.3671,True
job12_m6_600.json,198,19800,2.0896,True
job12_m6_622.json,294,29400,0.4910,True
job12_m6_853.json,252,25200,2.1749,True
job12_m6_89.json,310,31000,0.3744,True
job12_m6_901.json,243,24300,1.5535,True
job12_m6_977.json,235,23500,2.1236,True
job12_m6_978.json,237,23700,0.5454,True
job12_m7_446.json,209,20900,1.9071,True
job12_m7_513.json,212,21200,1.0230,True
job12_m7_582.json,228,22800,1.4933,True
job12_m7_604.json,245,24500,0.9633,True
job12_m7_613.json,171,17100,1.1671,True
job12_m7_678.json,179,17900,2.1019,True
job12_m7_706.json,168,16800,0.1575,True
job12_m7_777.json,199,19900,1.4439,True
job12_m7_822.json,247,24700,2.0250,True
job12_m7_845.json,252,25200,0.6361,True
job12_m7_924.json,226,22600,2.1618,True
job12_m7_980.json,186,18600,0.9351,True
job12_m8_204.json,216,21600,1.2657,True
job12_m8_348.json,159,15900,1.9756,True
job12_m8_353.json,197,19700,0.8441,True
job12_m8_43.json,212,21200,1.7107,True
job12_m8_528.json,232,23200,0.6493,True
job12_m8_606.json,207,20700,2.2056,True
job12_m8_633.json,206,20600,0.2752,True
job12_m8_67.json,199,19900,1.7172,True
job12_m8_729.json,200,20000,2.0312,True
job12_m8_75.json,179,17900,0.2708,True
job12_m8_873.json,194,19400,1.9508,True
job12_m8_895.json,235,23500,1.7545,True
job12_m8_900.json,232,23200,1.1823,True
job12_m8_929.json,182,18200,1.2629,True
job13_m5_100.json,231,23100,1.0996,True
job13_m5_143.json,253,25300,1.6334,True
job13_m5_148.json,277,27700,1.2806,True
job13_m5_355.json,242,24200,1.9275,True
job13_m5_360.json,288,28800,1.2036,True
job13_m5_374.json,278,27800,2.0728,True
job13_m5_38.json,270,27000,1.0054,True
job13_m5_535.json,238,23800,2.2224,True
job13_m5_574.json,348,34800,0.8543,True
job13_m5_590.json,338,33800,2.1085,True
job13_m5_832.json,238,23800,0.3582,True
job13_m5_915.json,261,26100,2.1818,True
job13_m5_922.json,329,32900,2.0403,True
job13_m5_979.json,272,27200,0.3927,True
job13_m5_99.json,266,26600,2.2360,True
job13_m6_112.json,297,29700,0.7454,True
job13_m6_169.json,250,25000,2.4422,True
job13_m6_223.json,299,29900,1.2050,True
job13_m6_336.json,222,22200,1.4253,True
job13_m6_338.json,246,24600,1.2125,True
job13_m6_471.json,237,23700,2.4080,True
job13_m6_556.json,239,23900,0.8826,True
job13_m6_674.json,254,25400,1.8739,True
