Filename,Makespan,Energy,Inference_Time(s),Valid
job10_m3_11.json,286,28600,4.3904,True
job10_m3_12.json,239,23900,4.2175,True
job10_m3_216.json,273,27300,4.1507,True
job10_m3_257.json,266,26600,4.1064,True
job10_m3_409.json,253,25300,4.1970,True
job10_m3_435.json,215,21500,4.0081,True
job10_m3_536.json,279,27900,4.1797,True
job10_m3_567.json,267,26700,4.3756,True
job10_m3_625.json,235,23500,4.0475,True
job10_m3_646.json,268,26800,4.1688,True
job10_m3_819.json,279,27900,4.3206,True
job10_m3_907.json,273,27300,4.4865,True
job10_m3_969.json,264,26400,4.1932,True
job10_m4_174.json,216,21600,4.3614,True
job10_m4_255.json,249,24900,4.7169,True
job10_m4_402.json,246,24600,4.3065,True
job10_m4_442.json,203,20300,4.3174,True
job10_m4_53.json,222,22200,4.4599,True
job10_m4_562.json,228,22800,4.5264,True
job10_m4_703.json,197,19700,4.2467,True
job10_m4_79.json,257,25700,4.6495,True
job10_m4_932.json,255,25500,4.3855,True
job10_m5_122.json,226,22600,4.6208,True
job10_m5_14.json,206,20600,4.6998,True
job10_m5_151.json,227,22700,4.9443,True
job10_m5_211.json,172,17200,4.4336,True
job10_m5_228.json,206,20600,4.5152,True
job10_m5_234.json,199,19900,4.4207,True
job10_m5_235.json,186,18600,4.3040,True
job10_m5_270.json,186,18600,4.4300,True
job10_m5_347.json,179,17900,4.4330,True
job10_m5_359.json,210,21000,4.8301,True
job10_m5_380.json,190,19000,4.5730,True
job10_m5_549.json,191,19100,4.4886,True
job10_m5_572.json,176,17600,4.3141,True
job10_m5_621.json,199,19900,4.4411,True
job10_m5_641.json,199,19900,4.5475,True
job10_m5_659.json,183,18300,4.2997,True
job10_m5_732.json,176,17600,4.5177,True
job10_m5_766.json,202,20200,4.5502,True
job10_m5_814.json,216,21600,4.6218,True
job10_m5_85.json,168,16800,4.2663,True
job10_m5_863.json,191,19100,4.4528,True
job10_m5_877.json,185,18500,4.3392,True
job10_m5_878.json,194,19400,4.3610,True
job10_m5_890.json,222,22200,4.7689,True
job10_m5_916.json,188,18800,4.5703,True
job10_m5_939.json,176,17600,4.4212,True
job10_m6_205.json,208,20800,4.7829,True
job10_m6_386.json,171,17100,4.5869,True
job10_m6_608.json,175,17500,4.8003,True
job10_m6_749.json,154,15400,4.3711,True
job10_m6_885.json,162,16200,4.5336,True
job10_m6_950.json,166,16600,4.6978,True
job10_m7_128.json,142,14200,4.3715,True
job10_m7_165.json,161,16100,4.8558,True
job10_m7_166.json,172,17200,4.8087,True
job10_m7_192.json,183,18300,4.9669,True
job10_m7_222.json,157,15700,4.7399,True
job10_m7_309.json,156,15600,4.5801,True
job10_m7_357.json,172,17200,4.8848,True
job10_m7_373.json,144,14400,4.6029,True
job10_m7_428.json,176,17600,4.6874,True
job10_m7_47.json,163,16300,4.7727,True
job10_m7_593.json,159,15900,4.6798,True
job10_m7_63.json,173,17300,4.8423,True
job10_m7_767.json,153,15300,4.6880,True
job10_m7_771.json,122,12200,4.2942,True
job10_m7_772.json,156,15600,4.5672,True
job10_m7_904.json,175,17500,4.6288,True
job10_m7_952.json,149,14900,4.5298,True
job10_m7_991.json,182,18200,4.9494,True
job10_m8_104.json,154,15400,4.9203,True
job10_m8_133.json,139,13900,4.6250,True
job10_m8_213.json,173,17300,4.9893,True
job10_m8_297.json,142,14200,4.7809,True
job10_m8_335.json,145,14500,4.7785,True
job10_m8_346.json,155,15500,4.8635,True
job10_m8_398.json,139,13900,4.6649,True
job10_m8_407.json,152,15200,4.8952,True
job10_m8_448.json,136,13600,4.7476,True
job10_m8_797.json,134,13400,4.6627,True
job10_m8_870.json,142,14200,4.5936,True
job10_m8_970.json,167,16700,4.8674,True
job10_m8_989.json,131,13100,4.5608,True
job11_m5_145.json,198,19800,4.6493,True
job11_m5_265.json,202,20200,5.0155,True
job11_m5_337.json,226,22600,4.8405,True
job11_m5_498.json,200,20000,4.7872,True
job11_m5_512.json,217,21700,4.8801,True
job11_m5_522.json,213,21300,4.5937,True
job11_m5_568.json,189,18900,4.4806,True
job11_m5_733.json,191,19100,4.7999,True
job11_m5_788.json,217,21700,4.7973,True
job11_m5_862.json,175,17500,4.3093,True
job11_m6_421.json,161,16100,4.7394,True
job11_m6_504.json,164,16400,4.5627,True
job11_m6_520.json,179,17900,4.8270,True
job11_m6_594.json,192,19200,4.9142,True
job11_m6_638.json,224,22400,4.9163,True
job11_m6_854.json,190,19000,4.9220,True
job11_m6_857.json,183,18300,4.5956,True
job11_m6_910.json,164,16400,4.5493,True
job11_m6_976.json,189,18900,4.8368,True
job11_m7_129.json,149,14900,4.5050,True
job11_m7_159.json,176,17600,5.2763,True
job11_m7_263.json,145,14500,4.6588,True
job11_m7_299.json,169,16900,4.8839,True
job11_m7_387.json,190,19000,4.9775,True
job11_m7_463.json,164,16400,4.6998,True
