Filename,Makespan,Energy,Inference_Time(s),Valid
job10_m3_11.json,412,41200,1.6609,True
job10_m3_12.json,338,33800,1.9205,True
job10_m3_216.json,379,37900,1.7765,True
job10_m3_257.json,295,29500,1.8942,True
job10_m3_409.json,384,38400,1.0830,True
job10_m3_435.json,298,29800,1.7005,True
job10_m3_536.json,410,41000,0.9638,True
job10_m3_567.json,348,34800,2.0252,True
job10_m3_625.json,357,35700,0.9355,True
job10_m3_646.json,403,40300,1.9320,True
job10_m3_819.json,348,34800,1.5922,True
job10_m3_907.json,385,38500,1.3954,True
job10_m3_969.json,352,35200,1.8749,True
job10_m4_174.json,277,27700,1.2340,True
job10_m4_255.json,364,36400,2.0987,True
job10_m4_402.json,266,26600,1.1169,True
job10_m4_442.json,247,24700,1.9143,True
job10_m4_53.json,316,31600,1.5497,True
job10_m4_562.json,236,23600,1.5442,True
job10_m4_703.json,248,24800,1.4693,True
job10_m4_79.json,350,35000,2.2302,True
job10_m4_932.json,320,32000,0.8596,True
job10_m5_122.json,237,23700,1.9933,True
job10_m5_14.json,264,26400,1.0874,True
job10_m5_151.json,273,27300,2.2328,True
job10_m5_211.json,219,21900,1.1189,True
job10_m5_228.json,232,23200,1.6051,True
job10_m5_234.json,228,22800,1.9777,True
job10_m5_235.json,249,24900,0.9073,True
job10_m5_270.json,252,25200,2.0447,True
job10_m5_347.json,209,20900,0.8899,True
job10_m5_359.json,240,24000,2.0753,True
job10_m5_380.json,245,24500,2.1261,True
job10_m5_549.json,252,25200,1.5667,True
job10_m5_572.json,231,23100,1.2290,True
job10_m5_621.json,238,23800,2.0088,True
job10_m5_641.json,275,27500,1.2641,True
job10_m5_659.json,250,25000,1.9134,True
job10_m5_732.json,250,25000,0.8317,True
job10_m5_766.json,262,26200,1.8008,True
job10_m5_814.json,270,27000,1.9572,True
job10_m5_85.json,194,19400,0.9077,True
job10_m5_863.json,304,30400,1.9992,True
job10_m5_877.json,210,21000,1.9697,True
job10_m5_878.json,252,25200,0.9702,True
job10_m5_890.json,270,27000,2.1213,True
job10_m5_916.json,234,23400,1.3645,True
job10_m5_939.json,201,20100,2.0491,True
job10_m6_205.json,246,24600,1.1701,True
job10_m6_386.json,246,24600,1.9692,True
job10_m6_608.json,189,18900,1.3567,True
job10_m6_749.json,181,18100,1.5282,True
job10_m6_885.json,208,20800,1.7028,True
job10_m6_950.json,195,19500,1.2023,True
job10_m7_128.json,173,17300,1.8568,True
job10_m7_165.json,214,21400,1.2979,True
job10_m7_166.json,200,20000,1.9554,True
job10_m7_192.json,246,24600,1.5119,True
job10_m7_222.json,171,17100,2.0555,True
job10_m7_309.json,213,21300,1.1056,True
job10_m7_357.json,214,21400,2.2392,True
job10_m7_373.json,165,16500,1.2278,True
job10_m7_428.json,201,20100,2.0060,True
job10_m7_47.json,230,23000,1.1672,True
job10_m7_593.json,197,19700,2.0924,True
job10_m7_63.json,195,19500,1.4182,True
job10_m7_767.json,202,20200,1.9635,True
job10_m7_771.json,143,14300,1.8083,True
job10_m7_772.json,221,22100,1.1065,True
job10_m7_904.json,198,19800,1.9280,True
job10_m7_952.json,202,20200,1.2336,True
job10_m7_991.json,219,21900,2.2618,True
job10_m8_104.json,157,15700,1.6961,True
job10_m8_133.json,207,20700,1.3314,True
job10_m8_213.json,184,18400,2.2115,True
job10_m8_297.json,186,18600,1.0863,True
job10_m8_335.json,161,16100,1.9967,True
job10_m8_346.json,203,20300,1.4259,True
job10_m8_398.json,192,19200,1.9651,True
job10_m8_407.json,219,21900,1.2342,True
job10_m8_448.json,155,15500,1.3942,True
job10_m8_797.json,158,15800,1.9154,True
job10_m8_870.json,201,20100,0.9182,True
job10_m8_970.json,173,17300,2.1790,True
job10_m8_989.json,165,16500,1.0844,True
job11_m5_145.json,283,28300,1.9974,True
job11_m5_265.json,273,27300,2.3356,True
job11_m5_337.json,278,27800,1.2863,True
job11_m5_498.json,297,29700,2.2319,True
job11_m5_512.json,295,29500,1.1695,True
job11_m5_522.json,257,25700,2.1396,True
job11_m5_568.json,243,24300,1.2631,True
job11_m5_733.json,280,28000,2.0765,True
job11_m5_788.json,289,28900,1.4798,True
job11_m5_862.json,210,21000,1.8991,True
job11_m6_421.json,168,16800,1.1529,True
job11_m6_504.json,197,19700,2.0498,True
job11_m6_520.json,232,23200,1.5268,True
job11_m6_594.json,223,22300,2.1991,True
job11_m6_638.json,239,23900,1.2278,True
job11_m6_854.json,215,21500,2.3105,True
job11_m6_857.json,252,25200,1.4799,True
job11_m6_910.json,254,25400,1.3701,True
job11_m6_976.json,241,24100,2.2006,True
job11_m7_129.json,180,18000,1.2770,True
job11_m7_159.json,242,24200,1.9925,True
job11_m7_263.json,177,17700,2.0179,True
job11_m7_299.json,203,20300,1.0122,True
job11_m7_387.json,276,27600,2.2357,True
job11_m7_463.json,240,24000,1.4802,True
job11_m7_479.json,259,25900,1.5407,True
job11_m7_530.json,217,21700,2.2351,True
job11_m7_577.json,218,21800,1.2821,True
job11_m7_624.json,224,22400,2.1357,True
job11_m7_726.json,219,21900,1.3275,True
job11_m7_791.json,223,22300,2.0662,True
job11_m7_911.json,210,21000,0.9939,True
job11_m8_139.json,199,19900,2.1483,True
job11_m8_187.json,197,19700,2.0509,True
job11_m8_294.json,198,19800,1.6218,True
job11_m8_314.json,221,22100,2.4298,True
job11_m8_415.json,196,19600,1.4209,True
job11_m8_437.json,204,20400,0.9933,True
job11_m8_529.json,265,26500,1.9214,True
job11_m8_626.json,173,17300,2.0738,True
job11_m8_715.json,277,27700,1.5498,True
job11_m8_719.json,201,20100,2.1249,True
job11_m8_835.json,207,20700,1.2785,True
job11_m8_843.json,234,23400,2.4288,True
job11_m8_882.json,205,20500,1.5783,True
job11_m8_956.json,202,20200,2.2204,True
job12_m5_146.json,266,26600,1.5229,True
job12_m5_203.json,265,26500,2.1354,True
job12_m5_237.json,305,30500,1.5575,True
job12_m5_302.json,263,26300,1.5139,True
job12_m5_469.json,283,28300,2.1808,True
job12_m5_474.json,297,29700,1.4921,True
job12_m5_484.json,264,26400,2.2040,True
job12_m5_654.json,279,27900,1.4736,True
job12_m5_728.json,268,26800,2.3220,True
job12_m5_838.json,247,24700,1.3942,True
job12_m5_940.json,362,36200,2.5089,True
job12_m5_972.json,262,26200,1.3552,True
job12_m6_17.json,239,23900,2.1690,True
job12_m6_181.json,254,25400,1.6563,True
job12_m6_220.json,234,23400,2.2894,True
job12_m6_278.json,207,20700,1.5612,True
job12_m6_381.json,299,29900,1.5786,True
job12_m6_521.json,197,19700,1.8408,True
job12_m6_6.json,274,27400,1.4494,True
job12_m6_600.json,209,20900,2.2045,True
job12_m6_622.json,262,26200,1.5480,True
job12_m6_853.json,240,24000,1.5374,True
job12_m6_89.json,264,26400,1.7210,True
job12_m6_901.json,307,30700,1.5949,True
job12_m6_977.json,252,25200,1.7173,True
job12_m6_978.json,241,24100,2.3209,True
job12_m7_446.json,247,24700,1.3866,True
job12_m7_513.json,192,19200,1.5689,True
job12_m7_582.json,252,25200,1.8601,True
job12_m7_604.json,233,23300,2.4989,True
job12_m7_613.json,199,19900,1.2139,True
job12_m7_678.json,197,19700,2.2166,True
job12_m7_706.json,199,19900,1.3175,True
job12_m7_777.json,231,23100,1.8656,True
job12_m7_822.json,186,18600,1.8174,True
job12_m7_845.json,255,25500,1.6657,True
job12_m7_924.json,222,22200,2.3549,True
job12_m7_980.json,207,20700,1.5296,True
job12_m8_204.json,224,22400,2.4381,True
job12_m8_348.json,202,20200,1.3049,True
job12_m8_353.json,213,21300,1.5858,True
job12_m8_43.json,206,20600,1.7402,True
job12_m8_528.json,195,19500,2.3822,True
job12_m8_606.json,261,26100,1.0836,True
job12_m8_633.json,196,19600,2.4675,True
job12_m8_67.json,158,15800,1.2834,True
job12_m8_729.json,190,19000,2.1424,True
job12_m8_75.json,208,20800,1.6158,True
job12_m8_873.json,204,20400,1.6486,True
job12_m8_895.json,204,20400,2.2211,True
job12_m8_900.json,243,24300,1.5795,True
job12_m8_929.json,231,23100,2.1931,True
job13_m5_100.json,259,25900,1.8794,True
job13_m5_143.json,300,30000,1.7725,True
job13_m5_148.json,357,35700,1.8709,True
job13_m5_355.json,333,33300,2.2796,True
job13_m5_360.json,308,30800,1.4943,True
job13_m5_374.json,322,32200,2.4058,True
job13_m5_38.json,304,30400,1.2910,True
job13_m5_535.json,279,27900,2.4411,True
job13_m5_574.json,341,34100,1.6594,True
job13_m5_590.json,339,33900,1.7420,True
job13_m5_832.json,314,31400,2.3545,True
job13_m5_915.json,230,23000,1.5383,True
job13_m5_922.json,384,38400,2.5303,True
job13_m5_979.json,328,32800,1.7794,True
job13_m5_99.json,312,31200,2.4485,True
job13_m6_112.json,257,25700,1.3482,True
