Filename,Makespan,Energy,Inference_Time(s),Valid
job100_m10_194.json,912,91200,44.1316,True
job100_m10_335.json,963,96300,48.2437,True
job100_m10_377.json,1013,101300,61.7891,True
job100_m10_651.json,918,91800,46.7996,True
job100_m10_694.json,1060,106000,50.6780,True
job100_m10_760.json,917,91700,63.4583,True
job100_m10_847.json,961,96100,49.8085,True
job100_m10_885.json,915,91500,48.1427,True
job100_m11_154.json,895,89500,53.2118,True
job100_m11_376.json,844,84400,45.6633,True
job100_m11_506.json,787,78700,45.3800,True
job100_m11_550.json,973,97300,60.4481,True
job100_m11_674.json,847,84700,45.8018,True
job100_m11_783.json,835,83500,45.1024,True
job100_m11_860.json,921,92100,57.1578,True
job100_m11_997.json,859,85900,52.4380,True
job100_m12_421.json,863,86300,49.5759,True
job100_m12_422.json,821,82100,52.7671,True
job100_m12_488.json,777,77700,47.7573,True
job100_m12_581.json,879,87900,50.1239,True
job100_m5_325.json,1702,170200,44.4425,True
job100_m5_392.json,1622,162200,49.2135,True
job100_m5_653.json,1746,174600,45.8476,True
job100_m6_259.json,1390,139000,40.7663,True
job100_m6_483.json,1379,137900,57.4560,True
job100_m6_539.json,1469,146900,43.5771,True
job100_m6_730.json,1408,140800,41.9544,True
job100_m7_431.json,1409,140900,58.2447,True
job100_m7_687.json,1270,127000,49.0340,True
job100_m8_125.json,1138,113800,50.4573,True
job100_m8_447.json,1175,117500,61.3762,True
job100_m8_94.json,1162,116200,49.1854,True
job100_m9_460.json,1083,108300,49.2141,True
job100_m9_536.json,961,96100,56.9513,True
job101_m10_260.json,985,98500,43.4397,True
job101_m10_348.json,889,88900,43.4266,True
job101_m10_609.json,914,91400,45.3090,True
job101_m10_716.json,946,94600,62.0885,True
job101_m10_780.json,1009,100900,44.9283,True
job101_m11_184.json,814,81400,45.4957,True
job101_m11_437.json,901,90100,61.3884,True
job101_m11_617.json,853,85300,45.9421,True
job101_m11_624.json,877,87700,44.7195,True
job101_m11_914.json,962,96200,46.9793,True
job101_m12_235.json,796,79600,52.6894,True
job101_m12_4.json,803,80300,46.7782,True
job101_m12_456.json,923,92300,47.5761,True
job101_m12_66.json,867,86700,59.6236,True
job101_m12_691.json,724,72400,42.2997,True
job101_m12_837.json,805,80500,46.4987,True
job101_m12_979.json,777,77700,61.1935,True
job102_m10_229.json,980,98000,47.5053,True
job102_m10_247.json,937,93700,47.8837,True
job102_m10_474.json,987,98700,43.6418,True
job102_m10_531.json,1002,100200,56.4078,True
job102_m10_805.json,978,97800,46.7103,True
job102_m10_875.json,958,95800,51.3759,True
job102_m11_190.json,887,88700,64.7579,True
job102_m11_663.json,778,77800,46.5391,True
job102_m11_893.json,827,82700,47.5655,True
job102_m11_909.json,925,92500,60.5484,True
job103_m10_178.json,1026,102600,51.9952,True
job103_m10_264.json,950,95000,46.6116,True
job103_m10_496.json,972,97200,48.4836,True
job103_m11_387.json,863,86300,57.9609,True
job103_m11_401.json,910,91000,46.4303,True
job103_m11_504.json,891,89100,46.7931,True
job103_m12_371.json,790,79000,57.6698,True
job103_m12_635.json,894,89400,47.5575,True
job103_m12_650.json,916,91600,49.6770,True
job103_m12_679.json,837,83700,62.2716,True
job103_m12_698.json,779,77900,47.7730,True
job103_m12_769.json,844,84400,46.6548,True
job103_m12_802.json,829,82900,62.3661,True
job103_m12_824.json,915,91500,50.4576,True
job104_m10_164.json,922,92200,45.5684,True
job104_m10_170.json,923,92300,66.2014,True
job104_m10_204.json,943,94300,52.9852,True
job104_m10_225.json,952,95200,53.0030,True
job104_m10_26.json,975,97500,50.5898,True
job104_m10_43.json,1039,103900,66.6548,True
job104_m10_601.json,978,97800,52.8557,True
job104_m10_755.json,915,91500,48.5363,True
job104_m10_977.json,1139,113900,70.5893,True
job104_m11_396.json,902,90200,48.1669,True
job104_m11_96.json,976,97600,54.3065,True
job104_m12_128.json,868,86800,47.0428,True
job104_m12_192.json,854,85400,56.6431,True
job104_m12_519.json,843,84300,50.8244,True
job104_m12_678.json,889,88900,48.6794,True
job104_m12_946.json,803,80300,64.3417,True
job104_m12_976.json,867,86700,46.9757,True
job105_m10_383.json,1080,108000,50.1047,True
job105_m10_489.json,1017,101700,63.6182,True
job105_m10_49.json,1071,107100,49.0233,True
job105_m10_735.json,903,90300,46.1169,True
job105_m10_758.json,981,98100,60.1967,True
job105_m10_812.json,1062,106200,50.9448,True
job105_m10_919.json,1006,100600,53.5078,True
job105_m11_203.json,882,88200,54.4755,True
job105_m11_438.json,862,86200,46.2512,True
job105_m11_54.json,918,91800,45.6786,True
job105_m11_835.json,884,88400,54.2804,True
job105_m11_931.json,1002,100200,48.4489,True
job105_m12_189.json,874,87400,55.9245,True
job105_m12_237.json,832,83200,52.2042,True
job105_m12_586.json,808,80800,59.4798,True
job105_m12_618.json,986,98600,50.4587,True
job105_m12_721.json,813,81300,49.8578,True
job105_m12_844.json,890,89000,64.7562,True
job106_m10_121.json,1033,103300,49.7952,True
job106_m10_195.json,1001,100100,52.6638,True
job106_m10_300.json,1087,108700,67.2998,True
job106_m10_381.json,1028,102800,50.9590,True
job106_m11_643.json,993,99300,51.6585,True
job106_m11_742.json,926,92600,54.9266,True
job106_m12_301.json,914,91400,57.6740,True
