Filename,Makespan,Energy,Inference_Time(s),Valid
job100_m10_194.json,1025,102500,38.2053,True
job100_m10_335.json,1068,106800,35.5951,True
job100_m10_377.json,1024,102400,34.0701,True
job100_m10_651.json,946,94600,30.0407,True
job100_m10_694.json,1066,106600,33.7962,True
job100_m10_760.json,975,97500,30.5738,True
job100_m10_847.json,1036,103600,33.2412,True
job100_m10_885.json,956,95600,30.1244,True
job100_m11_154.json,885,88500,32.6092,True
job100_m11_376.json,970,97000,34.4617,True
job100_m11_506.json,855,85500,31.9214,True
job100_m11_550.json,992,99200,33.6186,True
job100_m11_674.json,879,87900,30.2187,True
job100_m11_783.json,927,92700,30.4964,True
job100_m11_860.json,909,90900,34.9588,True
job100_m11_997.json,916,91600,32.9179,True
job100_m12_421.json,876,87600,33.8527,True
job100_m12_422.json,893,89300,31.8162,True
job100_m12_488.json,924,92400,30.8253,True
job100_m12_581.json,914,91400,33.7585,True
job100_m5_325.json,1883,188300,31.6835,True
job100_m5_392.json,1790,179000,28.0384,True
job100_m5_653.json,1865,186500,26.6041,True
job100_m6_259.json,1439,143900,26.8429,True
job100_m6_483.json,1667,166700,28.1501,True
job100_m6_539.json,1540,154000,27.2728,True
job100_m6_730.json,1329,132900,25.8347,True
job100_m7_431.json,1457,145700,31.7993,True
job100_m7_687.json,1301,130100,32.1210,True
job100_m8_125.json,1178,117800,32.9200,True
job100_m8_447.json,1252,125200,33.7663,True
job100_m8_94.json,1177,117700,30.2998,True
job100_m9_460.json,1052,105200,30.8395,True
job100_m9_536.json,1091,109100,32.7031,True
job101_m10_260.json,1053,105300,33.7398,True
job101_m10_348.json,983,98300,33.6252,True
job101_m10_609.json,1027,102700,33.0532,True
job101_m10_716.json,1036,103600,33.2347,True
job101_m10_780.json,1082,108200,32.8944,True
job101_m11_184.json,886,88600,34.0116,True
job101_m11_437.json,993,99300,33.9199,True
job101_m11_617.json,906,90600,32.3769,True
job101_m11_624.json,994,99400,30.5006,True
job101_m11_914.json,970,97000,32.2246,True
job101_m12_235.json,789,78900,31.4522,True
job101_m12_4.json,929,92900,31.9945,True
job101_m12_456.json,903,90300,31.5781,True
job101_m12_66.json,937,93700,32.4614,True
