Filename,Makespan,Energy,Inference_Time(s),Valid
job100_m10_194.json,1044,104400,39.2059,True
job100_m10_335.json,998,99800,39.7554,True
job100_m10_377.json,885,88500,39.5403,True
job100_m10_651.json,938,93800,38.6128,True
job100_m10_694.json,1008,100800,40.2046,True
job100_m10_760.json,1036,103600,41.1214,True
job100_m10_847.json,982,98200,37.3585,True
job100_m10_885.json,889,88900,39.9146,True
job100_m11_154.json,955,95500,38.1451,True
job100_m11_376.json,969,96900,38.2073,True
job100_m11_506.json,823,82300,35.5730,True
job100_m11_550.json,906,90600,37.7863,True
job100_m11_674.json,997,99700,38.1775,True
job100_m11_783.json,860,86000,40.5427,True
job100_m11_860.json,971,97100,39.4016,True
job100_m11_997.json,1004,100400,41.0878,True
job100_m12_421.json,909,90900,38.4612,True
job100_m12_422.json,849,84900,41.3331,True
job100_m12_488.json,997,99700,38.6702,True
job100_m12_581.json,821,82100,39.8642,True
job100_m5_325.json,1817,181700,38.1199,True
job100_m5_392.json,1674,167400,36.6192,True
job100_m5_653.json,1927,192700,40.0244,True
job100_m6_259.json,1566,156600,35.6215,True
job100_m6_483.json,1598,159800,36.5447,True
job100_m6_539.json,1390,139000,33.9743,True
job100_m6_730.json,1420,142000,32.0009,True
job100_m7_431.json,1305,130500,37.2685,True
job100_m7_687.json,1284,128400,37.5743,True
job100_m8_125.json,1233,123300,40.7986,True
job100_m8_447.json,1238,123800,40.1618,True
job100_m8_94.json,1231,123100,39.0790,True
job100_m9_460.json,1177,117700,41.5673,True
job100_m9_536.json,1050,105000,37.6868,True
job101_m10_260.json,1067,106700,39.8298,True
job101_m10_348.json,914,91400,37.9256,True
job101_m10_609.json,1097,109700,37.0634,True
job101_m10_716.json,1085,108500,41.4309,True
job101_m10_780.json,1016,101600,41.1921,True
job101_m11_184.json,855,85500,39.5531,True
job101_m11_437.json,925,92500,41.3504,True
job101_m11_617.json,891,89100,39.9637,True
job101_m11_624.json,878,87800,38.9081,True
job101_m11_914.json,987,98700,42.6065,True
job101_m12_235.json,875,87500,35.9973,True
job101_m12_4.json,935,93500,43.2895,True
job101_m12_456.json,851,85100,39.4340,True
job101_m12_66.json,791,79100,39.7099,True
job101_m12_691.json,790,79000,35.7173,True
job101_m12_837.json,864,86400,36.8852,True
job101_m12_979.json,813,81300,37.0780,True
job102_m10_229.json,939,93900,36.9504,True
job102_m10_247.json,1011,101100,40.9362,True
job102_m10_474.json,938,93800,35.5451,True
job102_m10_531.json,916,91600,37.7114,True
job102_m10_805.json,885,88500,37.4989,True
job102_m10_875.json,992,99200,39.5088,True
job102_m11_190.json,1090,109000,40.0649,True
job102_m11_663.json,802,80200,37.1833,True
job102_m11_893.json,909,90900,35.8154,True
job102_m11_909.json,878,87800,40.7839,True
job103_m10_178.json,974,97400,43.0543,True
job103_m10_264.json,944,94400,37.9118,True
job103_m10_496.json,1112,111200,40.3943,True
job103_m11_387.json,1081,108100,40.4507,True
job103_m11_401.json,886,88600,41.9448,True
job103_m11_504.json,990,99000,42.5038,True
job103_m12_371.json,819,81900,39.8669,True
job103_m12_635.json,1065,106500,42.3860,True
job103_m12_650.json,1005,100500,43.7835,True
job103_m12_679.json,1062,106200,44.5329,True
job103_m12_698.json,835,83500,40.6488,True
job103_m12_769.json,900,90000,40.3978,True
job103_m12_802.json,880,88000,42.3877,True
job103_m12_824.json,975,97500,44.7877,True
job104_m10_164.json,1263,126300,42.9618,True
job104_m10_170.json,1066,106600,43.5272,True
