Filename,Deterministic_MK,Stochastic_MK
gen_100_job_0.json,813.00,857.31
gen_100_job_1.json,843.00,906.78
gen_100_job_2.json,808.00,864.04
gen_100_job_3.json,785.00,839.32
gen_100_job_4.json,791.00,850.02
gen_100_job_5.json,806.00,847.65
gen_100_job_6.json,878.00,937.90
gen_100_job_7.json,784.00,863.08
gen_100_job_8.json,868.00,927.77
gen_100_job_9.json,875.00,917.10
gen_10_job_0.json,191.00,200.23
gen_10_job_1.json,160.00,158.83
gen_10_job_2.json,148.00,142.53
gen_10_job_3.json,135.00,142.24
gen_10_job_4.json,140.00,154.26
gen_10_job_5.json,138.00,142.40
gen_10_job_6.json,153.00,162.15
gen_10_job_7.json,156.00,172.34
gen_10_job_8.json,143.00,145.71
gen_10_job_9.json,154.00,178.25
gen_30_job_0.json,389.00,415.53
gen_30_job_1.json,451.00,473.75
gen_30_job_2.json,441.00,445.10
gen_30_job_3.json,492.00,495.27
gen_30_job_4.json,433.00,465.84
gen_30_job_5.json,501.00,536.75
gen_30_job_6.json,452.00,459.40
gen_30_job_7.json,460.00,501.03
gen_30_job_8.json,453.00,463.54
gen_30_job_9.json,427.00,460.83
gen_50_job_0.json,426.00,448.16
gen_50_job_1.json,410.00,429.08
gen_50_job_2.json,384.00,433.24
gen_50_job_3.json,426.00,478.87
gen_50_job_4.json,407.00,430.44
gen_50_job_5.json,423.00,451.61
gen_50_job_6.json,418.00,462.47
gen_50_job_7.json,395.00,472.51
gen_50_job_8.json,416.00,470.42
gen_50_job_9.json,419.00,451.26
