Training Log for rl_finetuned
==================================================
Epoch 0 | Loss: -0.38 | Avg Makespan: 124.5 | Best: 104.0 | Baseline: 160.6 | LR: 9.999994e-06
Epoch 1 | Loss: -0.89 | Avg Makespan: 139.5 | Best: 133.0 | Baseline: 161.2 | LR: 9.999976e-06
Epoch 2 | Loss: -1.12 | Avg Makespan: 138.5 | Best: 119.0 | Baseline: 161.9 | LR: 9.999945e-06
Epoch 3 | Loss: -1.46 | Avg Makespan: 144.2 | Best: 137.0 | Baseline: 163.1 | LR: 9.999902e-06
Epoch 4 | Loss: -1.71 | Avg Makespan: 149.5 | Best: 144.0 | Baseline: 164.4 | LR: 9.999847e-06
Epoch 5 | Loss: -1.13 | Avg Makespan: 131.5 | Best: 118.0 | Baseline: 165.5 | LR: 9.999780e-06
Epoch 6 | Loss: -0.85 | Avg Makespan: 135.8 | Best: 118.0 | Baseline: 166.1 | LR: 9.999701e-06
Epoch 7 | Loss: -0.91 | Avg Makespan: 138.5 | Best: 122.0 | Baseline: 166.6 | LR: 9.999609e-06
Epoch 8 | Loss: -1.16 | Avg Makespan: 144.8 | Best: 130.0 | Baseline: 167.3 | LR: 9.999505e-06
Epoch 9 | Loss: -0.89 | Avg Makespan: 139.5 | Best: 120.0 | Baseline: 167.8 | LR: 9.999389e-06
Epoch 10 | Loss: -1.12 | Avg Makespan: 144.8 | Best: 123.0 | Baseline: 168.5 | LR: 9.999261e-06
Epoch 11 | Loss: -1.25 | Avg Makespan: 152.8 | Best: 151.0 | Baseline: 169.1 | LR: 9.999121e-06
Epoch 12 | Loss: -0.85 | Avg Makespan: 142.0 | Best: 139.0 | Baseline: 169.6 | LR: 9.998968e-06
Epoch 13 | Loss: -0.60 | Avg Makespan: 142.0 | Best: 136.0 | Baseline: 169.8 | LR: 9.998803e-06
Epoch 14 | Loss: -0.38 | Avg Makespan: 140.5 | Best: 122.0 | Baseline: 169.8 | LR: 9.998626e-06
Epoch 15 | Loss: -0.22 | Avg Makespan: 140.8 | Best: 137.0 | Baseline: 169.7 | LR: 9.998437e-06
Epoch 16 | Loss: -0.40 | Avg Makespan: 143.5 | Best: 139.0 | Baseline: 169.7 | LR: 9.998235e-06
Epoch 17 | Loss: -0.38 | Avg Makespan: 135.0 | Best: 132.0 | Baseline: 169.6 | LR: 9.998022e-06
Epoch 18 | Loss: 0.03 | Avg Makespan: 134.0 | Best: 122.0 | Baseline: 169.2 | LR: 9.997796e-06
Epoch 19 | Loss: -0.24 | Avg Makespan: 139.5 | Best: 134.0 | Baseline: 169.1 | LR: 9.997557e-06
Epoch 20 | Loss: -0.44 | Avg Makespan: 144.0 | Best: 137.0 | Baseline: 169.2 | LR: 9.997307e-06
Epoch 21 | Loss: 0.87 | Avg Makespan: 130.2 | Best: 128.0 | Baseline: 168.1 | LR: 9.997045e-06
Epoch 22 | Loss: 0.40 | Avg Makespan: 127.0 | Best: 118.0 | Baseline: 167.3 | LR: 9.996770e-06
Epoch 23 | Loss: 1.38 | Avg Makespan: 127.0 | Best: 117.0 | Baseline: 165.8 | LR: 9.996483e-06
Epoch 24 | Loss: 1.22 | Avg Makespan: 114.8 | Best: 103.0 | Baseline: 164.1 | LR: 9.996184e-06
Epoch 25 | Loss: 0.56 | Avg Makespan: 115.8 | Best: 98.0 | Baseline: 163.1 | LR: 9.995872e-06
Epoch 26 | Loss: 0.47 | Avg Makespan: 123.0 | Best: 110.0 | Baseline: 162.0 | LR: 9.995549e-06
Epoch 27 | Loss: 0.09 | Avg Makespan: 130.8 | Best: 118.0 | Baseline: 161.5 | LR: 9.995213e-06
Epoch 28 | Loss: 1.16 | Avg Makespan: 111.0 | Best: 102.0 | Baseline: 159.7 | LR: 9.994865e-06
Epoch 29 | Loss: 1.78 | Avg Makespan: 107.8 | Best: 105.0 | Baseline: 157.4 | LR: 9.994505e-06
Epoch 30 | Loss: 1.04 | Avg Makespan: 111.8 | Best: 92.0 | Baseline: 155.9 | LR: 9.994133e-06
Epoch 31 | Loss: 1.83 | Avg Makespan: 106.0 | Best: 101.0 | Baseline: 153.7 | LR: 9.993748e-06
Epoch 32 | Loss: 1.47 | Avg Makespan: 111.5 | Best: 91.0 | Baseline: 152.2 | LR: 9.993351e-06
Epoch 33 | Loss: 1.82 | Avg Makespan: 108.5 | Best: 97.0 | Baseline: 150.3 | LR: 9.992942e-06
